             acronym                                                                            expansion        language           type                                             doc_id
754             МВнР                                                    Министерството на външните работи              bg   in_expansion        Министерство_на_външните_работи_на_България
755               г.                                                                               година              bg  out_expansion        Министерство_на_външните_работи_на_България
756              чл.                                                                                 член              bg  out_expansion        Министерство_на_външните_работи_на_България
757             МВРИ                                Министерство на външните работи/дела/ и изповеданията              bg   in_expansion        Министерство_на_външните_работи_на_България
758             МВнР                                                    Министерството на външните работи              bg   in_expansion        Министерство_на_външните_работи_на_България
759               г.                                                                               година              bg  out_expansion        Министерство_на_външните_работи_на_България
760              чл.                                                                                 член              bg  out_expansion        Министерство_на_външните_работи_на_България
761              OS                                                                     Operating  System              en  out_expansion                                 Мобилно_устройство
762              PDA                                                            personal digital assistan              en  out_expansion                                 Мобилно_устройство
763             RFID                                                        Radio-frequency identificatio              en  out_expansion                                 Мобилно_устройство
764            Wi-Fi                                                                    wireless fidelity              en  out_expansion                                 Мобилно_устройство
765               ОС                                                                  операционна система              bg  out_expansion                                 Мобилно_устройство
766               г.                                                                               година              bg  out_expansion                                 Мобилно_устройство
767               OS                                                                     Operating system              en  out_expansion                                 Мобилно_устройство
768              PDA                                                           Personal digital assistant              en  out_expansion                                 Мобилно_устройство
769             RFID                                                       Radio-frequency identification              en  out_expansion                                 Мобилно_устройство
770               ОС                                                                  операционна система              bg   in_expansion                                 Мобилно_устройство
771               г.                                                                               година              bg  out_expansion                                 Мобилно_устройство
772              HBO                                                                      Home Box Office              en  out_expansion                                  Модерно_семейство
773               г.                                                                               година              bg  out_expansion                                  Модерно_семейство
774              HBO                                                                      Home Box Office              en  out_expansion                                  Модерно_семейство
775               г.                                                                               година              bg  out_expansion                                  Модерно_семейство
776              МиР                                                                Музиканти и репертоар              bg   in_expansion                                Музикален_продуцент
777              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                Музикален_продуцент
778           т.нар.                                                                         така наречен              bg  out_expansion                                Музикален_продуцент
779              МиР                                                                Музиканти и репертоар              bg   in_expansion                                Музикален_продуцент
780              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                Музикален_продуцент
781           т.нар.                                                                         така наречен              bg  out_expansion                                Музикален_продуцент
782               cm                                                                           centimeter              en  out_expansion               Награди_на_филмовата_академия_на_САЩ
783               kg                                                                             kilogram              en  out_expansion               Награди_на_филмовата_академия_на_САЩ
784              САЩ                                                           Съединени Американски Щати              bg  out_expansion               Награди_на_филмовата_академия_на_САЩ
785               г.                                                                               година              bg  out_expansion               Награди_на_филмовата_академия_на_САЩ
786               cm                                                                           centimeter              en  out_expansion               Награди_на_филмовата_академия_на_САЩ
787               kg                                                                             kilogram              en  out_expansion               Награди_на_филмовата_академия_на_САЩ
788              САЩ                                                           Съединени Американски Щати              bg  out_expansion               Награди_на_филмовата_академия_на_САЩ
789               г.                                                                               година              bg  out_expansion               Награди_на_филмовата_академия_на_САЩ
790              БНТ                                                       Българска Национална Телевизия              bg  out_expansion                                   Народно_събрание
791              ВНС                                                            Великото народно събрание  other language   in_expansion                                   Народно_събрание
792               МС                                                                    Министерски Съвет              bg  out_expansion                                   Народно_събрание
793               НС                                                                     Народно Събрание              bg  out_expansion                                   Народно_събрание
794               г.                                                                               година              bg  out_expansion                                   Народно_събрание
795              др.                                                                                други              en  out_expansion                                   Народно_събрание
796              т.е                                                                                тоест              en  out_expansion                                   Народно_събрание
797              чл.                                                                                 член              en  out_expansion                                   Народно_събрание
798            БНТ 2                                                     Българска Национална Телевизия 2              bg  out_expansion                                   Народно_събрание
799              ВНС                                                           Великото народно събрание               bg   in_expansion                                   Народно_събрание
800               МС                                                                   Министерския съвет              bg  out_expansion                                   Народно_събрание
801               НС                                                                     Народно събрание              bg  out_expansion                                   Народно_събрание
802            англ.                                                                            английски              bg  out_expansion                                   Народно_събрание
803               г.                                                                               година              bg  out_expansion                                   Народно_събрание
804              др.                                                                                други              bg  out_expansion                                   Народно_събрание
805             т.е.                                                                                тоест              bg  out_expansion                                   Народно_събрание
806              чл.                                                                                 член              bg  out_expansion                                   Народно_събрание
807            AAFCE                                                     Allied Air Forces Central Europe              en  out_expansion                                               НАТО
808             BAOR                                                            British Army of the Rhine              en  out_expansion                                               НАТО
809              BGM                            Multiple Environment (B), Surface-Attack (G), Missile (M)              en  out_expansion                                               НАТО
810             GLCM                                                       Ground Launched Cruise Missile              en  out_expansion                                               НАТО
811            SHAPE                                            Supreme Headquarters Allied Powers Europe              en   in_expansion                                               НАТО
812           STANAG                                                            standardization agreement              en  out_expansion                                               НАТО
813               mm                                                                            milimeter              en  out_expansion                                               НАТО
814              ГДР                                                     Германска демократична република              bg  out_expansion                                               НАТО
815             НАТО                                        Организацията на Северноатлантическия договор              bg  out_expansion                                               НАТО
816              ООН                                                     Организация на обединените нации              bg  out_expansion                                               НАТО
817              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                               НАТО
818             СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                                               НАТО
819              ФРГ                                                         Федерална република Германия              bg  out_expansion                                               НАТО
820               г.                                                                               година              bg  out_expansion                                               НАТО
821            AAFCE                                                     Allied Air Forces Central Europe              en  out_expansion                                               НАТО
822             BAOR                                                            British Army of the Rhine              en  out_expansion                                               НАТО
823              BGM                            Multiple Environment (B), Surface-Attack (G), Missile (M)              en  out_expansion                                               НАТО
824             GLCM                                                       Ground Launched Cruise Missile              en  out_expansion                                               НАТО
825            SHAPE                                            Supreme Headquarters Allied Powers Europe              en   in_expansion                                               НАТО
826           STANAG                                                            standardization agreement              en  out_expansion                                               НАТО
827               mm                                                                            milimeter              en  out_expansion                                               НАТО
828              ГДР                                                     Германска демократична република              bg  out_expansion                                               НАТО
829             НАТО                                        Организацията на Северноатлантическия договор              bg   in_expansion                                               НАТО
830              ООН                                                     Организация на обединените нации              bg  out_expansion                                               НАТО
831              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                               НАТО
832             СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                                               НАТО
833              ФРГ                                                         Федерална република Германия              bg  out_expansion                                               НАТО
834               г.                                                                               година              bg  out_expansion                                               НАТО
835              MVP                                                                 Most valuable player              en  out_expansion                   Национална_баскетболна_асоциация
836              АБА                                                    Американска баскетболна асоциация              bg   in_expansion                   Национална_баскетболна_асоциация
837              НБА                                                   Националната баскетболна асоциация              bg   in_expansion                   Национална_баскетболна_асоциация
838              НБЛ                                                        Националната баскетболна лига              en   in_expansion                   Национална_баскетболна_асоциация
839              САЩ                                                           Съединени американски щати              en   in_expansion                   Национална_баскетболна_асоциация
840               г.                                                                               година              bg  out_expansion                   Национална_баскетболна_асоциация
841              др.                                                                                други              bg  out_expansion                   Национална_баскетболна_асоциация
842          т. нар.                                                                         така наречен              bg  out_expansion                   Национална_баскетболна_асоциация
843             т.е.                                                                                тоест              bg  out_expansion                   Национална_баскетболна_асоциация
844             т.н.                                                                         така нататък              bg  out_expansion                   Национална_баскетболна_асоциация
845              MVP                                                                 Most Valuable Player  other language  out_expansion                   Национална_баскетболна_асоциация
846              АБА                                                    Американска баскетболна асоциация              bg   in_expansion                   Национална_баскетболна_асоциация
847              НБА                                                   Националната баскетболна асоциация              bg   in_expansion                   Национална_баскетболна_асоциация
848              НБЛ                                                        Националната баскетболна лига              bg   in_expansion                   Национална_баскетболна_асоциация
849              САЩ                                                           Съединени американски щати              en  out_expansion                   Национална_баскетболна_асоциация
850               г.                                                                               година              en  out_expansion                   Национална_баскетболна_асоциация
851              др.                                                                                други              en  out_expansion                   Национална_баскетболна_асоциация
852          т. нар.                                                                         така наречен              en  out_expansion                   Национална_баскетболна_асоциация
853             т.е.                                                                                тоест              en  out_expansion                   Национална_баскетболна_асоциация
854             т.н.                                                                         така нататък              en  out_expansion                   Национална_баскетболна_асоциация
855              CES                                                            Consumer Electronics Show              en  out_expansion                                           Нетфликс
856               г.                                                                               година              bg  out_expansion                                           Нетфликс
857             млн.                                                                               милион              bg  out_expansion                                           Нетфликс
858              CES                                              International Consumer Electronics Show              en  out_expansion                                           Нетфликс
859               г.                                                                              година               bg  out_expansion                                           Нетфликс
860             UCAS                                         Universities and Colleges Admissions Service              en  out_expansion                             Оксфордски_университет
861            акад.                                                                             академик              bg  out_expansion                             Оксфордски_университет
862               в.                                                                              вестник              bg  out_expansion                             Оксфордски_университет
863               г.                                                                               година              bg  out_expansion                             Оксфордски_университет
864              св.                                                                                свети              bg  out_expansion                             Оксфордски_университет
865             UCAS                                         Universities and Colleges Admissions Service              en  out_expansion                             Оксфордски_университет
866            акад.                                                                             академик              bg  out_expansion                             Оксфордски_университет
867               в.                                                                              вестник              bg  out_expansion                             Оксфордски_университет
868               г.                                                                               година              bg  out_expansion                             Оксфордски_университет
869              св.                                                                                свети              bg  out_expansion                             Оксфордски_университет
870             ВОСР                                        Велика октомврийска социалистическа революция  other language   in_expansion                             Октомврийска_революция
871             СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                             Октомврийска_революция
872               г.                                                                               година              bg  out_expansion                             Октомврийска_революция
873              др.                                                                                други              en  out_expansion                             Октомврийска_революция
874            др.п.                                                                        други подобни              bg  out_expansion                             Октомврийска_революция
875             ВОСР                                       Велика октомврийска социалистическа революция               bg   in_expansion                             Октомврийска_революция
876             СССР                                         Съюз на съветските социалистически републики              bg  out_expansion                             Октомврийска_революция
877               г.                                                                               година              bg  out_expansion                             Октомврийска_революция
878              МОК                                                      Международен олимпийски комитет              bg   in_expansion                                    Олимпийски_игри
879              НБА                                                     Национална баскетболна асоциация              bg  out_expansion                                    Олимпийски_игри
880              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                    Олимпийски_игри
881               г.                                                                               година              bg  out_expansion                                    Олимпийски_игри
882          пр.н.е.                                                                     преди новата ера              bg  out_expansion                                    Олимпийски_игри
883           т.нар.                                                                         така наречен              bg  out_expansion                                    Олимпийски_игри
884              МОК                                                     Международен олимпийски комитет               bg   in_expansion                                    Олимпийски_игри
885              НБА                                                     Национална баскетболна асоциация              bg  out_expansion                                    Олимпийски_игри
886              САЩ                                                           Съединени Американски Щати              bg  out_expansion                                    Олимпийски_игри
887               г.                                                                               година              bg  out_expansion                                    Олимпийски_игри
888          пр.н.е.                                                                     преди новата ера              bg  out_expansion                                    Олимпийски_игри
889          т. нар.                                                                      така нареченият              bg  out_expansion                                    Олимпийски_игри
890                                                                                                                    en  out_expansion                                Операционна_система
891              ACP                                                              Airline Control Program              en   in_expansion                                Операционна_система
892              AIX                                                       Australian Securities Exchange  other language  out_expansion                                Операционна_система
893          ARPANET                                            Advanced Research Projects Agency Network              en  out_expansion                                Операционна_система
894             BCPL                                                  Basic Combined Programming Language              en  out_expansion                                Операционна_система
895              BDS                                                       Berkeley Standard Distribution              en  out_expansion                                Операционна_система
896             BIOS                                                            Basic Input/Output System              en  out_expansion                                Операционна_система
897              BOS                                                              Basic Operating System)              en   in_expansion                                Операционна_система
898              BSD                                                       Berkeley Software Distribution              en  out_expansion                                Операционна_система
899               CD                                                                         compact disc              en  out_expansion                                Операционна_система
900               CE                                                                     Embedded Compact              en  out_expansion                                Операционна_система
901              DEC                                                        Digital Equipment Corporation              en  out_expansion                                Операционна_система
902              DOS                                                                Disk Operating System              en   in_expansion                                Операционна_система
903              DVD                                                               digital versatile disc              en  out_expansion                                Операционна_система
904              EFI                                                        Extensible Firmware Interface              en  out_expansion                                Операционна_система
905              FTP                                                               file transfer protocol              en  out_expansion                                Операционна_система
906             GCOS                                               General Comprehensive Operating System              en   in_expansion                                Операционна_система
907            GECOS                                  General Electric Comprehensive Operating Supervisor              en   in_expansion                                Операционна_система
908            GNOME                                                 GNU Network Object Model Environment              en  out_expansion                                Операционна_система
909              GNU                                                                       GNU's Not Unix              en  out_expansion                                Операционна_система
910               HP                                                                      Hewlett Packard              en  out_expansion                                Операционна_система
911              IBM                                          International Business Machines Corporation              en  out_expansion                                Операционна_система
912              KDE                                                                K desktop environment              en  out_expansion                                Операционна_система
913              MIT                                                Massachusetts Institute of Technology              en  out_expansion                                Операционна_система
914           MS DOS                                                      Microsoft Disk Operating System              en  out_expansion                                Операционна_система
915             MTS                                                              Michigan Terminal System              en   in_expansion                                Операционна_система
916          MULTICS                                        Multiplexed Information and Computing Service              en  out_expansion                                Операционна_система
917           MUSIC                                           Multi-User System for Interactive Computing              en   in_expansion                                Операционна_система
918               NT                                                                       New Technology              en  out_expansion                                Операционна_система
919             NTFS                                                       the New Technology File System              en  out_expansion                                Операционна_система
920           ORVYL                                                           Stanford Timesharing System              en   in_expansion                                Операционна_система
921               OS                                                                     Operating System              en  out_expansion                                Операционна_система
922             OS X                                                                              Mac OS)              en   in_expansion                                Операционна_система
923              PDA                                                           Personal Digital Assistant              en  out_expansion                                Операционна_система
924              RAM                                                                 Random access memory              en  out_expansion                                Операционна_система
925          RISC OS                                                     reduced instruction set computer              en  out_expansion                                Операционна_система
926              ROM                                                                     Read Only Memory              en  out_expansion                                Операционна_система
927              SSH                                                                         Secure Shell              en  out_expansion                                Операционна_система
928            TCSEC                                          Trusted Computer System Evaluation Criteria              en   in_expansion                                Операционна_система
929              TOS                                                                Tape Operating System              en   in_expansion                                Операционна_система
930              TSS                                                                  Time Sharing System              en   in_expansion                                Операционна_система
931              UDF                                                                User-defined function              en  out_expansion                                Операционна_система
932             UNIX                                               UNiplexed Information Computing System              en  out_expansion                                Операционна_система
933              USB                                                                 universal serial bus              en  out_expansion                                Операционна_система
934               UX                                                                     User Experience               en  out_expansion                                Операционна_система
935              VMS                                                                Virtual Memory System              en  out_expansion                                Операционна_система
936               XP                                                                           eXPerience              en  out_expansion                                Операционна_система
937              iOS                                                              iPhone Operating System              en  out_expansion                                Операционна_система
938              ГПИ                                                     Графичен Потребителски Интерфейс              en   in_expansion                                Операционна_система
939               ОС                                                                Операционната система              bg   in_expansion                                Операционна_система
940             САЩ                                                          Съединените Американски Щати              en  out_expansion                                Операционна_система
941               г.                                                                               година              en  out_expansion                                Операционна_система
942              др.                                                                                други              en  out_expansion                                Операционна_система
943             т.е.                                                                                тоест              bg  out_expansion                                Операционна_система
944              BSD                                                       Berkeley Software Distribution              en  out_expansion                                Операционна_система
945               OS                                                                     Operating system              en  out_expansion                                Операционна_система
946       Windows NT                                                              Windows New Technology               en  out_expansion                                Операционна_система
947               ОС                                                                  Операционна система              bg   in_expansion                                Операционна_система
948            напр.                                                                             например              bg  out_expansion                                Операционна_система
949               г.                                                                               година              bg  out_expansion                       Орден_на_Британската_империя
950               г.                                                                               година              bg  out_expansion                       Орден_на_Британската_империя
951             ВМРО                                         Вътрешна македонска революционна организация              bg  out_expansion                                          Остромила
952             НБКМ                                         Народна библиотека "Св. св. Кирил и Методий"              bg  out_expansion                                          Остромила
953          НБКМ-Сф                                   Народна библиотека "Св. св. Кирил и Методий" София              bg  out_expansion                                          Остромила
954               Сф                                                                                София              bg  out_expansion                                          Остромила
955               г.                                                                               година              bg  out_expansion                                          Остромила
956              гр.                                                                                 град              bg  out_expansion                                          Остромила
957              BOA                                                                                                   en  out_expansion                                          Остромила
958             ВМРО                                         Вътрешна македонска революционна организация              en  out_expansion                                          Остромила
959          НБКМ-Сф                                         Народна библиотека "Св. св. Кирил и Методий"              en  out_expansion                                          Остромила
960               ОО                                                                                                   en  out_expansion                                          Остромила
961               Пд                                                                                                   en  out_expansion                                          Остромила
